Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-06-25,The Wicker Man,1973,https://boxd.it/6K0DAf,2.5,,"blz, agora que a raiva passou, eu consigo discorrer um pouco melhor sobre esse filme.

a história por si só é muito interessante, você acompanha um policial que vai fazer uma investigação numa ilha e todos parecem saber de alguma coisa, mas escondem isso e deixam claro que estão escondendo. uma sinopse de terror, ne man?

esse filme se vende como um terror. mas o que seria terror? um filme que te assusta? um filme que te faz te sentir desconfortável? esse filme não tem nada disso, o que faz ele ser um suspense (um ótimo suspense) mas definitivamente não é um terror.",,2024-06-24
2024-07-02,A Man Amidst Bees,2015,https://boxd.it/6MGZkv,4,Yes,"eu quero ver quem vai me fazer acreditar que esse filme é ruim

agora serio, eu não sei é porque eu já revi esse filme várias vezes, mas eu acho esse filme extremamente bom pra que ele se propõe. é doido voce ver em comentário do tiktok que a galera simplesmente não consegue entender o filme no geral

um adendo pra atuação do fabio porchat, o cara tá totalmente diferente de qualquer personagem que ele já interpretou no porta",,2024-07-01
2024-07-02,Califórnia,2015,https://boxd.it/6MXlJ5,2,,"- péssima atuação tirando os principais e os pais da protagonista
- direção amadora 
- tem umas falas que parecem ter sido regravadas depois
- tem uns diálogos que sao muito sofríveis, pqp. não sei o problema desses roteiristas de quererem sempre enfiar Califórnia no meio dos diálogos, porra 


- tem uma boa ambientação dos anos 80
- a química entre os personagens é ok
- tem 1hr e meia que por si só já mostra que ele nao tenta se esticar
- tem umas horas que chega a ficar engraçado os boatos que ela vai contando pro cara que ele tem na história, claro que isso nao proposital tlgd, mas fica em engraçado ver que uma hora essa fdp vai dizer ""todo mundo na escola acha que voce deu o cu pro cachorro""",,2024-07-02
2024-07-04,Lawrence of Arabia,1962,https://boxd.it/6NM9XB,5,,"""3 horas e 40 de duração é putaria""

foi o que eu pensei quando baixei o filme pra ver, mas a verdade é que Lawrence da Arábia é extremamente foda, revolucionário e moderno pra sua época. eu anotei muita coisa pra falar, mas vou me ater ao que é mais importante.

Lawrence da Arábia consegue nas primeiras uma hora e meia ser extremamente fixante. E isso não é criar um demérito pra suas próximas 2 horas e 10, mas eu falo no sentido que um filme de quase 4 horas de duração de 1962 te deixar fixado por esse tempo todo, é muito importante pra que voce sinta vontade de acompanhar o restante da história. Acho que a palavra divertido se encaixa melhor do que interessante pra descrever essa parte.

A construção do inglês conhecendo uma cultura de ""bárbaros"", atravessando o deserto montado num camelo e com os takes fodas dentro do deserto me fizeram pensar várias vezes ""como que esses filhos da puta gravaram isso aí mano pqp"", e só reforça como é um filme muito a frente do seu tempo.

Por fim, um dos bgl mais fodas que o filme vai criando, é a figura do Lawrence como um <b>messias</b> pra aquele povo da revolução árabe, como um símbolo de heroísmo e resistência. Mas mesmo sendo essa figura, ele não deixa de questionar seus propósitos e o filme até brinca um pouco com a ideia de: 
<blockquote><i>você escreve o seu futuro? </i><i>ou só se esforça pra adiar algo que consequentemente vai acontecer?</i></blockquote>",,2024-07-04
2024-07-09,No Hard Feelings,2023,https://boxd.it/6PU6hV,2.5,,"- bobin
- jennifer lawrence fazendo comedia é tipo ryan gosling, ninguem da porra nenhuma mas quando faz fica muito engraçado 
- a primeira meia hora é um humorzin meio vergonha alheia gostosin
- a cena da jennifer lawrence brigando na praia é simplesmente intankavel
- da metade pro fim ele vai ficando mais pastelão, com umas piada muito ruins e situações puramente constrangedoras, nem é engraçado, só constrangedor


é um besteirol estilo anos 2000 misturando com uma comédia romântica meio paia, tem algumas cenas e piadas que funcionam mas da metade pro fim viram outra coisa",,2024-07-08
2024-07-09,The 36th Chamber of Shaolin,1978,https://boxd.it/6Q3hV1,4,,um dos filmes de artes marciais mais massa que já vi,,2024-07-09
2024-07-10,Eyes Wide Shut,1999,https://boxd.it/6Qrsjl,1.5,,"ai o filho da puta do interior do ceara criticando simplesmente o stanley kubrick

mas beleza, antes de eu ver algum crítico e explicar a real mensagem do filme, eu tenho que dizer que esse filme só foi feito pro kubrick fazer um soft porn, nao é possível.

eu achei que a história ia ter um cunho maior de suspense sobre o culto, explicar a relação do dr e a filha do coroa que morreu, explicar porque a filha do maluco das fantasias ficava se inxirindo pro dr, explicar porque a mulher do dr tinha os sonhos malucos que descreviam exatamente o culto..

mas nao po, quase tudo nesse filme acaba em sexo, 2 hora e 40 minutos em um bagulho que provavelmente serei convencido da grande mensagem por tras daqui a pouco, mas pra mim, agora:

Kubrick vai tomar no seu cu seu velho viado, e vai tomar no cu tambem o personagem do dr, o cara fica com flashes e imagens malucas na cabeça dele da mulher dele dando pra outro, fetichismo da porra.

vao se foderem cornos, poligamicos e associados


edit: depois de ver a crítica, entendi um propósito ou outro, mas no geral a ideia do filme é isso mesmo: pobre e ultra sexualizado",,2024-07-10
2024-07-11,Spy Kids,2001,https://boxd.it/6QSFLr,2.5,,"é divertido, e a produção dele é muito massa, todos os visuais e os acessórios sao interessantes. época boa que o Robert Rodriguez tentou parar de ser o Tarantino",,2024-07-11
2024-07-12,Reflections of a Blender,2010,https://boxd.it/6R1VnD,4,,"- já começa bom com 1hr20min
- atuaçao da veia é sem dúvidas a melhor do filme 
- fotografia é massa, o diretor tenta fazer uns enquadramentos diferentes e na maioria das vezes funciona bem.
- o filme é algo mais comédia do que um drama, eu acredito 
- nos diálogos o liquidificador é muito bom, mas nos monólogos eu acho que essa linguagem poética se sai em alguns momentos 
- a maioria dos diálogos são bem escritos, mas as cenas que aparece o investigador eu acho as cenas muito vilao kkkkkkkk exageradamente 


caralho... simplesmente to 10 minutos tentando escrever alguma coisa com esse final, mas pqp

caralho kkkkkkkkkkkkkkkkkkkkk que filme foda pqp, eu sinceramente nao achei que eles iam por esse caminho, e que ia ser mais uma das loucuras da veia. simplesmente do caralho, eu vacilei muito por não ter visto antes

eu acredito até que foi de propósito esse negócio mais vilanesco do investigador, porque se ele não fosse meio maluco, talvez acreditariam na hipótese dele",,2024-07-11
2024-07-12,Stories of Samba,2023,https://boxd.it/6R4oQN,1.5,,"fraquíssimo, nao que eu esperava uma super produção, um roteiro pica etc

mas esse filme é um desrespeito ao adoniran. se eu postasse oq eu escrevi sobre o filme aqui eu ia ser preso",,2024-07-11
2024-07-12,Fatal Attraction,1987,https://boxd.it/6RdjNn,3.5,,"trai de novo jumento

a trama e o filme são simples, mas o roteiro é muito amarrado e mostra as consequências pros dois lados (apesar que o cara se lasca bem menos do que a amante) e nos momentos cruciais ele sabe construir uma tensaozinha massa",,2024-07-12
2024-07-13,Problem Child,1990,https://boxd.it/6RsP4J,2.5,,um dos fortes concorrentes a ser o anti-cristo,,2024-07-12
2024-07-14,Four Days in September,1997,https://boxd.it/6RXTtP,3.5,,"simplirmete só a nata da dramaturgia brasileira num filme pica sobre revolucionários na ditadura militar.

o romance entre o Pedro Cardoso e a Fernanda Torres nao era necessário, mas dentro do filme ele acho que ele agrega bastante aos dois personagens, mas ainda tendo em vista que em pouquíssimos momentos são trabalhadas as relações entre os outros do filme.

é um filme massa demais, e mesmo com um final meio anticlimatico, não tem muito o que fazer. porém, eu nao acharia ruim uma cena com eles no futuro, percebendo o impacto que fizeram (mesmo que pequeno) para o fim da ditadura. 🤙
<b><i>
Lenin não se chamava Lenin, nem Trotsky (vai toma no cu trotsky kkkkkk viado) se chamava Trotsky e foi assim que entraram para a história.</i></b>",,2024-07-13
